geography,geographic_area_name,estimate_,margin_of_error_,estimate_citizen_born_in_us,margin_of_error_citizen_born_in_us,estimate_citizen_born_in_puerto_rico_orisland_areas,margin_of_error_citizen_born_in_puerto_rico_orisland_areas,estimate_citizen_born_abroad_of_american_parent_s_,margin_of_error_citizen_born_abroad_of_american_parent_s_,estimate_citizen_by_naturalization,margin_of_error_citizen_by_naturalization,estimate_not_a_citizen,margin_of_error_not_a_citizen,prop_citizen_born_in_us,prop_citizen_born_in_puerto_rico_orisland_areas,prop_citizen_born_abroad_of_american_parent_s_,prop_citizen_by_naturalization,prop_not_a_citizen
0500000US06111,"Ventura County, California",835427.0,*****,629762.0,9634.0,1073.0,704.0,9258.0,1774.0,105436.0,6148.0,89898.0,8625.0,0.7538205013723521,0.0012843731409207507,0.011081758190721632,0.1262061197447533,0.10760724755125223
0500000US06113,"Yolo County, California",225251.0,*****,177459.0,3977.0,241.0,248.0,3845.0,1259.0,19956.0,2281.0,23750.0,2967.0,0.7878278009864551,0.0010699175586345898,0.017069846526763476,0.08859450124527748,0.10543793368286933
0500000US06115,"Yuba County, California",87469.0,*****,73348.0,2188.0,0.0,225.0,2293.0,1245.0,5524.0,1210.0,6304.0,2065.0,0.8385599469526347,0.0,0.026215001886382604,0.06315380306165613,0.07207124809932662
0500000US08001,"Adams County, Colorado",542973.0,*****,449743.0,7490.0,1396.0,802.0,5587.0,1763.0,33156.0,3910.0,53091.0,6346.0,0.8282971713142274,0.0025710302353892365,0.010289646078165949,0.06106380980269737,0.09777834256952003
0500000US08005,"Arapahoe County, Colorado",666918.0,*****,536923.0,8208.0,884.0,497.0,9013.0,1756.0,58355.0,5306.0,61743.0,7066.0,0.8050809844688552,0.0013255002863920302,0.013514405069288879,0.08749951268371824,0.09257959749174562
0500000US08013,"Boulder County, Colorado",330262.0,*****,291430.0,4008.0,694.0,569.0,4399.0,1225.0,18063.0,2243.0,15676.0,3014.0,0.8824206236260907,0.002101361948998068,0.013319727973548273,0.054692940756126955,0.0474653456952359
0500000US08014,"Broomfield County, Colorado",78323.0,*****,68219.0,1820.0,234.0,302.0,850.0,471.0,4623.0,1171.0,4397.0,1645.0,0.8709957483753176,0.0029876281552034525,0.010852495435568096,0.05902480752780154,0.056139320506109314
0500000US08031,"Denver County, Colorado",729019.0,*****,595791.0,8938.0,2510.0,1036.0,13509.0,3649.0,50980.0,5024.0,66229.0,7665.0,0.8172503048617389,0.0034429829675221087,0.018530381238349068,0.06992959031246099,0.09084674061992898
0500000US08035,"Douglas County, Colorado",393995.0,*****,353824.0,3586.0,796.0,427.0,3147.0,832.0,18278.0,2309.0,17950.0,3599.0,0.8980418533230117,0.0020203302072361326,0.007987411007753905,0.046391451668168375,0.04555895379382987
0500000US08041,"El Paso County, Colorado",752772.0,*****,666064.0,6785.0,4464.0,1576.0,20798.0,3165.0,32925.0,4083.0,28521.0,5857.0,0.8848150568830934,0.005930082415392709,0.027628551540174184,0.04373834308396168,0.03788796607737801
0500000US08059,"Jefferson County, Colorado",578533.0,*****,530099.0,4677.0,1283.0,661.0,7159.0,1332.0,21644.0,2693.0,18348.0,3324.0,0.916281353008385,0.002217678161833465,0.012374402151649085,0.03741186760305808,0.03171469907507437
0500000US08069,"Larimer County, Colorado",374574.0,*****,349778.0,2658.0,198.0,208.0,4084.0,1058.0,10774.0,1502.0,9740.0,2076.0,0.9338021325559168,0.0005286004901568182,0.010903052534345684,0.02876334182297757,0.026002872596603076
0500000US08077,"Mesa County, Colorado",161260.0,*****,154018.0,1930.0,92.0,117.0,937.0,517.0,4623.0,1610.0,1590.0,626.0,0.9550911571375419,0.0005705072553640084,0.005810492372566043,0.028667989582041423,0.009859853652486667
